Date	Game	Song	Group	Composers	Converters	Binary	Audio	Duration	Tracks	Categories	Notes
|	|Banjo-Tooie	|Clinkers Cavern	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Clinkers Cavern by Ballaam (bce82ebd-dabe-46bf-967b-b4529fab7262).bin	|https://youtu.be/y0kHJlhU7GA	|92.10688000000005	|6	|Happy, Minigames	|
|	|Banjo-Tooie	|Credits Roll	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Credits Roll by Ballaam (3cb5d368-8b2c-4863-86c6-041625088c9a).bin	|https://youtu.be/np-jhjQOgUQ	|228.7235022916673	|15	|Happy, Exteriors	|
|	|Banjo-Tooie	|Fun n Games	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Fun n Games by Ballaam (781b1e77-e735-4835-b1be-29f66066cad8).bin	|https://youtu.be/EK1IP_ouhQw	|64.93838664843769	|7	|Happy, Minigames	|
|	|Banjo-Tooie	|Game Select	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Game Select by Ballaam (959372fb-2919-49af-8b38-5e8f1edaefe3).bin	|https://youtu.be/ZMrXyiihYBQ	|82.8340854687499	|4	|Happy, Lobbies and Shops	|
|	|Banjo-Tooie	|Grunty Industries (Exterior)	|bgm	|Grant Kirkhope	|gloomy	|binaries/Banjo-Tooie/Grunty Industries (Exterior) by gloomy (c1d68f78-737f-4fff-ba3f-52b6a2f91284).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1100440794978074625/BT_Grunty_Industries_Exterior.mp3	|145.35203999999922	|8	|Exteriors, Gloomy	|
|	|Banjo-Tooie	|Grunty Industries (Interior)	|bgm	|Grant Kirkhope	|gloomy	|binaries/Banjo-Tooie/Grunty Industries (Interior) by gloomy (d83ed2c0-fcec-46ae-8f83-a2a64e86d73e).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1105846578662617098/BT_Grunty_Industries_Interior.mp3	|145.35204000000132	|11	|Interiors, Lobbies and Shops, Calm	|
|	|Banjo-Tooie	|Hag 1	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Hag 1 by Ballaam (277ab598-f6f1-4193-a7e5-6700dd57461b).bin	|https://youtu.be/kj72htTum8w	|190.70015999999427	|15	|Fights	|
|	|Banjo-Tooie	|Happy Jinjo House	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Happy Jinjo House by Ballaam (3095405d-3acb-4000-8534-7fc2c8e8e6a9).bin	|https://youtu.be/4EqxOi3blnE	|80.63999999999994	|5	|Happy, Interiors	|
|	|Banjo-Tooie	|Heggys Shed	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Heggys Shed by Ballaam (fc82f5e0-9802-4ea9-8b75-1d3e9f59148d).bin	|https://youtu.be/2D4kOO8v5Xs	|53.051880000000004	|7	|Happy, Interiors	|
|	|Banjo-Tooie	|Isle o Hags	|bgm	|Grant Kirkhope	|gloomy	|binaries/Banjo-Tooie/Isle o Hags by gloomy (46e4dbd3-fe75-4837-8b4b-e99963948f76).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1100895729012191393/BT_Isle_O_Hags.mp3	|148.35776895833504	|9	|Exteriors, Gloomy	|
|	|Banjo-Tooie	|Jiggywiggy Challenge	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Jiggywiggy Challenge by Ballaam (04b2a433-36b8-41c3-aa37-512eca1d55c8).bin	|https://youtu.be/nALedBD8mo8	|81.23309184375003	|6	|Happy, Minigames	|
|	|Banjo-Tooie	|Jiggywiggy Temple	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Jiggywiggy Temple by Ballaam (0ec58509-8315-4641-8099-b07b4bfba158).bin	|https://www.youtube.com/watch?v=NCuWaWTBaqw	|89.650	|7	|Calm, Interiors	|
|	|Banjo-Tooie	|Jinjo Village	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Jinjo Village by Ballaam (5fa7f680-dad6-490d-8b2d-8b10a4bd4800).bin	|https://youtu.be/e0dJmM0kHKo	|134.8551199999983	|9	|Happy, Calm, Exteriors	|
|	|Banjo-Tooie	|Lord Woo Fak Fak	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Lord Woo Fak Fak by Ballaam (c8947f35-c7f1-4471-963e-2e4d05b33424).bin	|https://youtu.be/NbgLJcxCOCc	|119.99879999999841	|9	|Fights, Gloomy	|
|	|Banjo-Tooie	|Mayahem Temple	|bgm	|Grant Kirkhope	|gloomy	|binaries/Banjo-Tooie/Mayahem Temple by gloomy (e63f0cfe-5eb2-44b2-b806-45934420305c).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1100441113841639504/BT_Mayahem_Temple.mp3	|367.6979166666658	|14	|Exteriors, Happy	|
|	|Banjo-Tooie	|Mingy Jongo	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Mingy Jongo by Ballaam (8390153c-b123-4c56-944b-65dfb2abe784).bin	|https://youtu.be/KmzoL14xJz4	|121.44352901041543	|14	|Fights	|
